Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_11,Dam,New York,2020-01-10,2022-05-11,27913358,40099991.31,12186633.31,677,852.12,175.12,0.4128,0.0108,225.69,40.96,74.96,Sunny,158,36346.62,757.45,8973,49.29,4,2.96,52.92,0,15.49,High
PJT_12,Building,Houston,2020-01-11,2021-04-15,34745717,50297956.74,15552239.74,231,460.61,229.61,1.1091,0.2844,278.52,36.82,24.80,Snowy,222,43781.86,463.40,5033,74.74,0,6.57,70.96,0,57.05,High
PJT_13,Building,Seattle,2020-01-12,2023-03-21,17017943,17403389.76,385446.76,865,1164.58,299.58,0.3487,3.2275,255.75,41.10,85.50,Snowy,167,32952.17,606.69,2638,44.40,3,5.55,56.62,0,16.19,High
PJT_14,Dam,Los Angeles,2020-01-13,2021-05-01,37454740,48964617.23,11509877.23,471,474.61,3.61,1.2622,4.9362,344.29,-9.57,77.20,Sunny,288,34852.49,945.04,3200,55.87,1,7.68,57.77,1,28.96,High
PJT_15,Building,Seattle,2020-01-14,2023-02-26,18715659,22056701.48,3341042.48,883,1139.15,256.15,0.5771,4.5408,72.86,24.89,78.05,Snowy,50,20010.04,217.74,5291,49.69,7,5.97,71.38,1,16.77,High
PJT_16,Dam,Chicago,2020-01-15,2021-08-15,40091555,48476355.45,8384800.45,216,578.34,362.34,0.9166,0.2091,214.09,41.32,88.05,Snowy,280,21101.42,713.86,2684,61.22,8,8.96,70.32,1,23.91,High
PJT_17,Dam,Seattle,2020-01-16,2022-02-02,2663384,2574385.51,-88998.49,361,748.15,387.15,1.8565,3.9119,235.27,26.84,71.45,Cloudy,118,12163.90,731.15,7267,92.33,7,3.00,90.83,0,37.47,High
PJT_18,Dam,Seattle,2020-01-17,2021-05-04,27740599,29498528.20,1757929.20,204,473.82,269.82,1.7423,4.8344,175.61,25.28,47.98,Stormy,134,47265.67,203.81,5279,50.71,4,1.34,79.83,1,80.78,High
PJT_19,Road,Chicago,2020-01-18,2021-12-02,39694168,38644305.03,-1049862.97,703,684.29,-18.71,0.1843,2.1803,283.96,34.36,68.08,Cloudy,143,24408.38,953.99,6409,77.39,1,7.48,65.02,0,46.76,High
PJT_20,Road,Los Angeles,2020-01-19,2022-01-22,29215675,37460459.21,8244784.21,747,734.46,-12.54,0.8204,3.7407,128.31,21.30,48.43,Snowy,127,17911.12,486.90,6279,67.90,7,7.08,75.56,0,96.38,High
PJT_21,Dam,Houston,2020-01-20,2021-11-13,43475941,54454464.90,10978523.90,470,663.19,193.19,0.2774,4.7600,155.69,7.07,76.46,Cloudy,56,7079.62,985.54,2193,67.32,9,2.75,84.82,1,31.96,High
PJT_22,Tunnel,Houston,2020-01-21,2021-11-01,47701848,56606473.02,8904625.02,615,650.99,35.99,0.1954,1.2460,431.75,15.11,76.10,Stormy,193,31795.35,955.04,8251,76.76,8,4.84,95.34,0,24.32,High
PJT_23,Road,New York,2020-01-22,2022-02-23,43792734,45117568.41,1324834.41,445,763.44,318.44,1.5776,2.4230,157.66,14.19,69.95,Cloudy,119,20113.14,903.72,2320,48.30,3,4.45,57.64,1,47.34,High
PJT_24,Building,Chicago,2020-01-23,2022-03-30,14880420,20704307.77,5823887.77,657,797.36,140.36,0.8400,3.8490,475.73,-8.93,81.65,Stormy,147,26464.09,948.47,5892,85.21,6,5.84,86.73,0,90.80,High
PJT_25,Road,Seattle,2020-01-24,2021-09-24,2947822,3250731.88,302909.88,459,609.99,150.99,1.3709,3.9907,375.88,36.23,84.37,Stormy,186,6213.49,454.62,1444,45.04,6,2.22,73.08,1,44.12,High
PJT_26,Dam,New York,2020-01-25,2021-09-28,26442729,27258931.43,816202.43,514,612.88,98.88,1.9073,2.1078,425.71,15.87,72.43,Snowy,293,20748.22,685.13,1659,85.25,3,2.79,51.02,1,21.36,Medium
PJT_27,Tunnel,Chicago,2020-01-26,2021-08-17,18196223,24537311.28,6341088.28,403,569.47,166.47,0.4188,3.0362,386.57,-3.70,77.35,Sunny,77,31040.81,936.00,7149,63.80,3,1.68,84.53,0,19.17,High
PJT_28,Building,Chicago,2020-01-27,2021-11-02,38979090,52961395.34,13982305.34,303,645.00,342.00,0.7597,2.1419,216.76,17.83,43.89,Rainy,260,27059.08,490.17,6934,78.14,7,7.37,71.77,0,96.89,High
PJT_29,Building,Chicago,2020-01-28,2022-12-24,32197150,36483344.74,4286194.74,731,1061.56,330.56,1.4889,1.3420,433.27,35.69,26.07,Rainy,112,38771.43,612.86,7209,60.18,7,8.66,59.09,1,81.80,High
PJT_30,Building,Los Angeles,2020-01-29,2023-01-14,19540070,23668186.63,4128116.63,790,1081.63,291.63,1.0816,0.9553,158.61,12.35,58.86,Cloudy,226,26424.19,740.66,8342,87.58,1,3.65,70.22,0,69.76,High
PJT_31,Building,New York,2020-01-30,2022-09-03,29555077,44267903.23,14712826.23,746,947.39,201.39,1.1457,1.7591,254.19,6.86,36.14,Cloudy,130,10379.96,582.28,4033,51.49,7,3.49,79.48,0,63.71,High
PJT_32,Tunnel,Seattle,2020-01-31,2021-07-07,13042118,13648236.51,606118.51,483,523.57,40.57,1.4452,0.6329,70.48,-7.00,40.45,Cloudy,213,44080.75,541.79,1200,74.44,7,5.31,67.04,0,32.72,High
PJT_33,Road,Houston,2020-02-01,2021-02-13,5971570,7315553.95,1343983.95,246,378.37,132.37,1.4043,0.7586,415.01,42.20,25.96,Cloudy,80,30113.29,474.56,4697,86.54,6,5.05,72.14,0,99.10,High
PJT_34,Building,Chicago,2020-02-02,2022-03-09,7659452,11228248.28,3568796.28,815,766.92,-48.08,0.4948,1.0551,347.19,-1.36,32.17,Snowy,90,5120.41,505.45,8699,57.48,3,3.59,64.14,0,16.41,Medium
PJT_35,Dam,Los Angeles,2020-02-03,2022-12-21,14275422,16078983.50,1803561.50,820,1052.59,232.59,1.1347,3.2382,458.79,35.46,25.00,Cloudy,252,18842.53,774.06,5728,66.35,7,7.20,84.99,0,55.04,High
PJT_36,Road,New York,2020-02-04,2021-06-16,29992952,39814055.66,9821103.66,262,498.96,236.96,1.2471,0.1293,153.02,27.09,80.24,Stormy,293,5933.55,788.28,5415,74.57,2,5.23,82.58,0,26.33,High
PJT_37,Bridge,New York,2020-02-05,2023-05-01,7123174,8230875.69,1107701.69,830,1181.55,351.55,0.8759,1.6053,97.07,-1.15,48.82,Rainy,123,34816.26,460.41,1601,67.29,5,3.27,55.80,0,87.84,High
PJT_38,Tunnel,Chicago,2020-02-06,2022-04-08,13588451,16129295.73,2540844.73,653,792.02,139.02,1.2830,2.4925,248.92,-7.16,38.69,Cloudy,287,17961.31,892.76,8941,47.29,9,8.19,85.49,0,11.23,High
PJT_39,Road,Houston,2020-02-07,2022-06-11,8614246,9905875.79,1291629.79,410,855.90,445.90,0.3232,4.1607,274.27,29.41,55.62,Sunny,156,42562.58,982.22,4993,67.41,2,4.45,96.09,0,89.14,High
PJT_40,Tunnel,Los Angeles,2020-02-08,2022-01-12,35073698,35903619.94,829921.94,604,704.13,100.13,0.1049,3.6303,426.86,21.90,66.20,Cloudy,164,29236.13,410.61,9903,62.63,5,8.83,99.04,1,44.47,High
PJT_41,Road,Houston,2020-02-09,2022-05-08,48327041,69771180.01,21444139.01,505,819.69,314.69,0.8243,4.9421,406.58,25.86,30.65,Snowy,82,27603.10,631.16,2644,92.45,7,1.90,95.52,1,22.97,High
PJT_42,Dam,Houston,2020-02-10,2022-10-31,18785377,20101570.72,1316193.72,660,994.21,334.21,1.4161,3.2492,433.29,36.88,80.15,Rainy,294,19249.75,746.85,8994,92.34,0,6.56,61.74,0,35.86,High
PJT_43,Dam,Houston,2020-02-11,2023-01-08,43530096,56916864.59,13386768.59,624,1062.52,438.52,0.2910,0.8318,184.76,-8.41,42.71,Snowy,125,21130.85,487.62,5000,71.87,9,7.14,59.00,1,64.85,High
PJT_44,Road,Chicago,2020-02-12,2022-08-26,40135012,37848380.62,-2286631.38,879,926.64,47.64,0.9762,1.2699,164.90,-9.48,76.32,Sunny,223,29596.92,166.48,6661,99.26,4,6.75,71.22,0,86.08,Medium
PJT_45,Dam,New York,2020-02-13,2021-11-24,26592924,32489898.25,5896974.25,674,650.53,-23.47,1.1921,4.9635,182.85,43.79,66.08,Sunny,52,30466.81,717.22,1803,94.64,7,8.50,95.15,1,30.71,High
PJT_46,Building,Seattle,2020-02-14,2022-06-14,17819279,22996615.24,5177336.24,831,851.77,20.77,1.4698,3.2959,427.25,24.55,83.24,Snowy,129,40487.47,130.03,6977,83.94,1,9.19,66.34,1,28.07,High
PJT_47,Bridge,Los Angeles,2020-02-15,2022-08-11,19289000,26807991.13,7518991.13,723,908.95,185.95,0.5882,4.1234,266.83,34.36,72.26,Sunny,255,10182.64,966.60,3306,85.25,3,8.74,86.21,1,97.05,High
PJT_48,Bridge,Los Angeles,2020-02-16,2021-10-19,1934065,1976417.30,42352.30,272,611.06,339.06,0.3348,1.8429,387.06,4.42,46.67,Sunny,77,35367.64,524.33,6374,94.92,3,6.83,81.77,0,73.10,High
PJT_49,Road,Houston,2020-02-17,2020-11-10,3497263,3664561.50,167298.50,323,267.03,-55.97,1.0360,0.4860,449.27,-2.54,51.76,Stormy,157,31430.32,753.94,7797,79.30,7,6.54,96.95,0,72.13,High
PJT_50,Dam,New York,2020-02-18,2023-01-11,25339448,23174965.17,-2164482.83,635,1058.79,423.79,1.4028,2.7223,490.03,9.73,47.87,Cloudy,297,10497.19,863.23,8450,45.50,3,6.78,79.86,1,80.81,High
PJT_51,Dam,Seattle,2020-02-19,2022-04-15,38192255,37606091.37,-586163.63,758,786.76,28.76,0.5103,4.3485,197.85,-1.88,83.04,Snowy,120,43628.28,230.22,3129,72.41,2,1.99,93.32,1,42.24,Low
PJT_52,Dam,Chicago,2020-02-19,2021-05-03,18808512,16627841.11,-2180670.89,511,439.36,-71.64,1.5093,2.6304,385.55,16.19,74.46,Stormy,201,9907.43,553.45,1710,83.63,8,3.71,82.17,1,99.87,High
PJT_53,Road,New York,2020-02-20,2022-06-28,48808442,70347877.80,21539435.80,882,859.22,-22.78,0.2396,0.4040,323.73,-6.39,39.25,Stormy,190,37046.88,442.81,9692,57.69,8,6.45,54.96,0,86.75,High
PJT_54,Bridge,Seattle,2020-02-21,2022-04-10,16333944,18277337.40,1943393.40,620,779.32,159.32,1.6721,1.9937,378.33,7.19,41.88,Sunny,145,47911.66,718.14,8770,44.03,1,1.84,54.83,0,83.06,High
PJT_55,Bridge,Houston,2020-02-22,2023-06-13,38693933,41180787.74,2486854.74,780,1207.01,427.01,0.3322,1.7680,349.40,31.27,80.77,Snowy,297,17943.32,381.20,2697,74.68,3,2.39,74.11,0,41.51,High
PJT_56,Bridge,Los Angeles,2020-02-23,2021-11-05,39527199,39408752.24,-118446.76,297,621.18,324.18,0.9153,2.8048,395.34,24.19,67.25,Stormy,56,32404.77,692.05,5381,41.74,4,7.32,65.45,0,10.55,High
PJT_57,Dam,Chicago,2020-02-24,2022-11-05,10521046,14010139.31,3489093.31,853,985.42,132.42,1.9464,0.4588,288.72,10.69,51.76,Cloudy,144,19023.68,391.94,2391,93.00,2,2.42,80.89,0,34.49,Medium
PJT_58,Road,New York,2020-02-25,2022-10-07,19331916,19140913.33,-191002.67,801,955.28,154.28,1.0735,1.7259,99.90,27.30,61.52,Stormy,220,18878.87,298.47,1897,40.46,4,9.51,88.37,1,36.05,High
PJT_59,Tunnel,Houston,2020-02-26,2022-11-26,12790678,11946118.56,-844559.44,689,1004.92,315.92,1.1119,1.1506,301.43,26.74,44.79,Rainy,270,38391.86,492.60,8532,95.27,5,6.18,78.67,0,47.59,High
PJT_60,Tunnel,New York,2020-02-27,2021-11-21,12534213,17182643.72,4648430.72,201,633.09,432.09,1.2744,4.1601,463.90,-5.15,79.11,Cloudy,161,31499.21,571.57,7484,92.23,5,2.99,88.96,1,66.99,High
PJT_61,Bridge,Chicago,2020-02-28,2022-04-16,24446177,26358230.52,1912053.52,378,778.14,400.14,1.9206,3.2272,116.46,-4.35,37.92,Cloudy,204,11879.14,783.24,2234,50.63,7,5.18,78.19,0,71.30,High
PJT_62,Bridge,Chicago,2020-02-29,2022-08-05,43091847,45483025.72,2391178.72,510,888.05,378.05,0.9355,2.3446,334.12,33.80,61.40,Sunny,179,8338.58,515.57,1616,43.41,4,1.69,93.21,0,65.35,High
PJT_63,Bridge,New York,2020-03-01,2022-07-29,3752987,4287138.03,534151.03,653,880.57,227.57,1.6387,3.2592,194.69,16.16,30.56,Snowy,165,9657.58,909.21,6626,98.94,1,5.54,58.63,0,49.40,High
PJT_64,Road,Chicago,2020-03-02,2022-10-16,25420778,27768483.15,2347705.15,715,958.20,243.20,0.6375,2.0438,202.27,22.88,75.25,Sunny,66,19836.08,602.17,7333,57.05,9,8.86,66.67,1,22.73,High
PJT_65,Building,Los Angeles,2020-03-03,2023-04-18,27303855,25496847.05,-1807007.95,851,1141.19,290.19,1.4468,0.4236,301.51,25.39,42.99,Cloudy,221,36627.39,952.40,9624,45.61,6,5.58,50.91,0,95.61,High
PJT_66,Building,New York,2020-03-04,2021-04-24,10231854,9727570.55,-504283.45,376,416.07,40.07,0.6620,3.9406,278.46,19.69,71.71,Stormy,59,34786.82,888.75,3147,75.83,2,2.46,91.57,0,82.81,Medium
PJT_67,Dam,New York,2020-03-05,2021-03-01,46389947,61129456.77,14739509.77,224,361.76,137.76,1.9422,3.0530,388.58,33.11,36.38,Cloudy,129,48451.85,805.93,4178,62.07,9,9.86,73.08,1,44.37,High
PJT_68,Bridge,New York,2020-03-06,2022-02-01,41578277,39081877.65,-2496399.35,345,697.95,352.95,0.5750,3.2059,443.35,20.50,27.18,Stormy,267,10610.50,175.49,3626,56.37,8,2.33,71.87,0,29.98,High
PJT_69,Road,Los Angeles,2020-03-07,2021-02-16,27605575,32472565.54,4866990.54,207,346.90,139.90,0.5480,4.9726,218.71,-8.45,85.16,Sunny,252,11572.22,134.47,8740,81.76,2,7.83,73.46,1,91.53,High
PJT_70,Tunnel,Los Angeles,2020-03-08,2022-04-09,37829629,55274643.90,17445014.90,400,762.53,362.53,1.2569,2.1163,399.28,3.07,28.53,Cloudy,157,33752.83,660.53,2029,46.65,7,6.37,50.82,0,31.77,High
PJT_71,Dam,Los Angeles,2020-03-09,2021-08-30,24677083,24834195.95,157112.95,619,539.83,-79.17,0.8915,3.3219,88.53,43.61,24.74,Stormy,189,27829.75,989.50,1333,63.43,7,1.39,69.34,0,77.26,High
PJT_72,Building,Houston,2020-03-10,2021-10-11,45097529,56749243.43,11651714.43,533,580.80,47.80,1.5659,3.6759,199.63,-7.56,58.22,Cloudy,262,40061.42,518.16,8840,77.90,2,1.57,88.81,0,36.41,High
PJT_73,Tunnel,Seattle,2020-03-11,2021-01-14,21808840,25843460.85,4034620.85,222,309.27,87.27,1.9793,2.7152,163.99,31.43,33.38,Sunny,270,40137.87,879.22,6438,56.39,5,4.93,70.00,0,96.08,Medium
PJT_74,Building,Seattle,2020-03-12,2022-11-11,25652234,37216307.35,11564073.35,688,974.80,286.80,1.0866,4.0057,377.19,-5.66,62.17,Cloudy,189,18219.49,192.34,6372,79.66,4,5.01,85.88,1,49.95,High
PJT_75,Road,Houston,2020-03-13,2022-05-08,30188363,31047553.52,859190.52,541,786.87,245.87,1.9621,4.7395,83.77,25.06,45.43,Cloudy,293,6401.33,863.80,8179,42.09,1,3.12,82.26,1,95.45,High
PJT_76,Tunnel,Chicago,2020-03-14,2021-11-20,25895006,28272392.73,2377386.73,337,616.90,279.90,1.5499,2.8696,288.26,11.89,65.47,Cloudy,295,10105.19,762.11,9176,71.06,8,2.06,88.75,0,29.31,High
PJT_77,Bridge,Los Angeles,2020-03-15,2023-10-01,33963887,33288546.41,-675340.59,890,1295.73,405.73,0.3579,0.3703,127.70,29.24,89.81,Sunny,220,20634.14,158.45,9882,57.42,4,8.66,85.59,1,67.39,High
PJT_78,Building,Chicago,2020-03-16,2021-04-13,14487564,19773245.79,5285681.79,409,393.32,-15.68,0.5498,2.4701,212.40,21.48,52.72,Stormy,83,32537.68,177.59,6067,63.89,7,5.73,88.46,0,16.64,High
PJT_79,Building,Houston,2020-03-17,2022-06-01,35719442,38360344.92,2640902.92,640,806.89,166.89,1.7681,3.9013,337.91,0.01,87.64,Rainy,178,45982.05,149.87,3034,71.09,4,2.48,66.13,0,41.14,High
PJT_80,Bridge,Los Angeles,2020-03-18,2021-01-24,43617959,64189434.09,20571475.09,260,312.82,52.82,0.6215,3.1251,326.49,-4.86,64.87,Stormy,291,31129.09,254.08,6531,90.55,9,1.37,93.19,1,95.37,High
PJT_81,Bridge,Los Angeles,2020-03-19,2022-08-13,39395477,44153718.24,4758241.24,846,877.73,31.73,1.3141,2.4902,332.22,5.93,86.97,Rainy,112,41210.97,716.49,5873,67.21,0,2.42,70.78,0,40.62,Medium
PJT_82,Dam,Los Angeles,2020-03-20,2022-06-13,24177425,35879133.89,11701708.89,506,815.13,309.13,0.3485,1.8527,302.74,7.55,52.65,Sunny,165,16156.35,187.13,5754,96.72,9,4.76,98.13,0,83.21,High
PJT_83,Bridge,Los Angeles,2020-03-21,2022-02-17,34438034,51566827.39,17128793.39,374,698.45,324.45,0.9869,4.3954,273.82,-5.05,47.53,Rainy,297,15832.79,625.01,1797,43.03,7,6.38,92.14,1,35.72,High
PJT_84,Tunnel,Houston,2020-03-22,2021-11-23,18748475,24801987.13,6053512.13,621,611.99,-9.01,1.5513,1.8297,230.26,21.37,33.63,Stormy,123,8308.93,553.83,5582,89.52,9,7.12,55.94,0,45.45,High
PJT_85,Building,Chicago,2020-03-23,2022-08-14,14358548,17827586.38,3469038.38,554,874.13,320.13,0.8626,0.2013,67.51,29.25,76.28,Stormy,166,11702.33,903.82,3290,59.68,9,3.87,69.65,0,85.83,High
PJT_86,Bridge,Los Angeles,2020-03-24,2023-02-14,36724721,42909175.91,6184454.91,699,1057.99,358.99,1.1696,2.3745,57.49,8.22,27.67,Rainy,199,18845.50,908.89,1436,75.81,4,9.70,89.15,1,61.99,High
PJT_87,Tunnel,Chicago,2020-03-25,2022-02-04,43213169,56988180.88,13775011.88,671,681.37,10.37,1.5718,1.9010,419.75,3.32,60.08,Snowy,98,5852.18,382.32,3481,64.78,3,4.69,88.75,0,88.55,High
PJT_88,Tunnel,Seattle,2020-03-26,2022-04-05,22813704,34192720.19,11379016.19,711,740.89,29.89,1.0089,1.8841,480.51,15.28,57.32,Stormy,140,35414.09,880.89,5331,76.60,3,9.62,63.95,1,94.73,High
PJT_89,Building,Los Angeles,2020-03-27,2022-02-02,33816441,35712748.12,1896307.12,392,677.83,285.83,0.7627,4.6685,407.93,5.04,28.53,Stormy,147,45309.22,455.08,6654,97.28,2,3.61,64.38,1,41.17,High
PJT_90,Road,Los Angeles,2020-03-28,2022-03-01,37143352,38117854.99,974502.99,670,703.41,33.41,1.1678,1.3581,99.15,30.75,36.75,Snowy,221,45733.29,303.10,4814,43.15,6,3.97,73.62,0,22.37,High
PJT_91,Bridge,Seattle,2020-03-29,2022-08-08,32923662,38202692.61,5279030.61,596,862.03,266.03,0.4790,4.8196,194.53,25.52,83.56,Snowy,216,30836.00,581.64,1611,94.79,2,4.76,91.88,1,13.27,High
PJT_92,Road,New York,2020-03-30,2022-05-25,20425799,29002245.97,8576446.97,370,786.40,416.40,0.1176,2.8398,98.29,44.06,39.92,Stormy,184,27226.06,944.70,9261,68.08,3,8.28,66.53,0,68.35,High
PJT_93,Dam,Houston,2020-03-31,2022-08-12,39103152,50378965.88,11275813.88,525,864.11,339.11,0.4670,3.0548,337.43,12.30,49.94,Sunny,72,23037.50,185.85,3303,68.65,3,1.06,69.18,0,34.03,High
PJT_94,Building,Los Angeles,2020-04-01,2023-03-16,1767439,1802804.66,35365.66,776,1079.13,303.13,0.7831,1.1815,350.50,15.60,31.18,Stormy,286,45280.33,733.20,6095,81.42,4,4.31,61.04,0,53.04,High
PJT_95,Road,Chicago,2020-04-02,2022-03-05,37858503,54641857.98,16783354.98,562,702.40,140.40,1.5390,4.0100,421.52,31.90,67.62,Stormy,273,40431.68,572.96,9653,82.23,1,9.26,55.61,1,91.26,High
PJT_96,Dam,Chicago,2020-04-03,2022-04-01,23019601,32352113.37,9332512.37,729,728.42,-0.58,0.9395,3.4015,372.61,16.89,82.92,Rainy,257,7503.61,218.75,7806,67.41,0,6.03,83.64,0,11.96,High
PJT_97,Building,Houston,2020-04-04,2021-12-24,4039347,4545894.44,506547.44,403,629.50,226.50,1.4307,2.7058,77.12,39.18,89.03,Rainy,58,17919.08,261.98,3218,85.95,6,4.37,94.57,0,92.54,High
PJT_98,Road,New York,2020-04-05,2021-09-30,45412145,64415307.52,19003162.52,262,543.85,281.85,0.3527,4.3014,103.38,44.61,47.51,Cloudy,236,49042.60,851.34,1372,98.71,7,7.06,77.22,1,84.10,High
PJT_99,Dam,New York,2020-04-06,2021-09-24,13648708,19917787.99,6269079.99,534,536.21,2.21,1.4775,0.5642,414.27,13.06,73.62,Snowy,111,14273.67,190.81,1550,66.79,0,3.20,52.21,0,58.58,High
PJT_100,Tunnel,Seattle,2020-04-07,2023-05-23,16714313,23070115.49,6355802.49,695,1141.55,446.55,1.4899,1.5945,319.06,26.99,42.45,Sunny,274,11446.72,694.19,4621,64.81,4,1.55,97.43,0,92.04,High
PJT_101,Road,Chicago,2020-04-08,2021-12-30,24113287,35254377.12,11141090.12,687,631.85,-55.15,1.3756,3.9290,193.43,12.90,30.45,Rainy,97,38948.72,526.17,4692,58.04,2,8.25,95.74,0,97.10,High
PJT_102,Bridge,Chicago,2020-04-08,2021-06-24,18112468,17789502.35,-322965.65,317,442.86,125.86,1.3287,4.6111,431.21,-4.91,70.72,Cloudy,63,17080.77,706.30,1647,92.42,3,8.24,79.38,1,29.53,High
PJT_103,Dam,Los Angeles,2020-04-09,2022-10-13,2029027,2004019.35,-25007.65,490,917.22,427.22,0.4610,3.7074,386.10,31.49,84.01,Stormy,230,14203.09,923.61,6269,86.53,6,5.20,82.44,0,42.37,High
PJT_104,Road,New York,2020-04-10,2021-12-26,49480354,57158159.88,7677805.88,280,625.49,345.49,1.6955,4.5717,216.82,12.77,59.38,Cloudy,239,11566.52,334.70,7841,57.71,3,3.97,68.99,1,54.94,High
PJT_105,Building,Los Angeles,2020-04-11,2023-04-28,44063385,58636739.70,14573354.70,680,1112.25,432.25,0.9756,3.6639,208.48,-2.30,58.26,Cloudy,284,45021.40,991.29,1962,71.44,1,9.51,83.41,1,47.12,High
PJT_106,Dam,Houston,2020-04-12,2020-12-26,34939161,40054473.53,5115312.53,334,258.84,-75.16,0.2149,3.1886,470.26,40.20,66.15,Snowy,51,28949.56,470.20,1274,71.77,4,5.82,64.33,0,72.81,High
PJT_107,Road,Seattle,2020-04-13,2022-03-09,36190908,34264949.69,-1925958.31,289,695.57,406.57,0.4647,2.6323,416.85,4.70,47.78,Sunny,295,23271.23,608.50,4700,58.00,1,6.88,92.91,0,18.42,High
PJT_108,Road,New York,2020-04-14,2022-10-18,43731440,37440349.28,-6291090.72,745,917.28,172.28,0.4256,2.4993,245.26,33.14,59.61,Snowy,279,28767.16,138.30,4463,94.08,9,5.28,52.33,1,93.30,High
PJT_109,Bridge,Chicago,2020-04-15,2022-06-14,22104710,19013979.97,-3090730.03,853,790.44,-62.56,0.4936,0.7210,419.31,35.15,85.02,Sunny,91,30378.12,610.03,7375,80.62,8,3.99,87.78,1,98.96,High
PJT_110,Tunnel,Chicago,2020-04-16,2021-08-11,30332496,30359601.21,27105.21,534,482.46,-51.54,0.2444,3.0258,326.24,22.76,87.82,Sunny,57,33535.53,805.19,8381,69.44,5,5.98,68.77,1,62.73,Medium
PJT_111,Road,Houston,2020-04-17,2022-09-23,17538964,23037789.57,5498825.57,813,889.55,76.55,0.2559,0.7711,370.25,24.86,71.78,Sunny,142,9794.79,104.68,6050,66.68,4,1.92,54.36,0,60.13,High
PJT_112,Bridge,New York,2020-04-18,2020-11-22,24750785,29954461.16,5203676.16,285,218.92,-66.08,1.2342,3.9222,438.67,-9.32,48.97,Snowy,235,45551.12,914.69,4977,74.32,2,7.17,58.48,0,34.16,High
PJT_113,Dam,Houston,2020-04-19,2021-09-02,29259699,30571673.62,1311974.62,351,501.38,150.38,1.5871,1.8056,474.90,29.65,54.71,Stormy,100,25603.77,221.94,1110,96.93,5,8.57,68.99,1,49.62,High
PJT_114,Road,Chicago,2020-04-20,2021-05-23,41480822,60799739.13,19318917.13,319,398.23,79.23,0.4816,1.5709,484.06,43.28,40.40,Rainy,297,30914.57,318.18,7161,56.82,6,4.29,96.60,1,99.75,High
